id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,league,season
0ef89a37,110,Philippe Coutinho,BRA,"MF,FW",Aston Villa,30,1992,8.8,24,2.74,19,1,3,1,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
a5ca9127,111,Conor Coventry,IRL,"MF,FW",West Ham,22,2000,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
bc914523,112,Matthew Craig,SCO,MF,Tottenham,19,2003,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
4f974391,113,Aaron Cresswell,ENG,DF,West Ham,32,1989,24.8,73,2.94,43,27,0,2,1,0,1,0.04,0,1,0,0,0,0,Matches,ENG-EPL,22-23
1daec722,114,Marc Cucurella,ESP,DF,Chelsea,24,1998,18.6,27,1.46,21,6,0,0,0,0,3,0.16,2,1,0,0,0,0,Matches,ENG-EPL,22-23
dc62b55d,115,Matheus Cunha,BRA,FW,Wolves,23,1999,10.7,21,1.96,16,1,1,1,2,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
ca45605e,116,Patson Daka,ZAM,FW,Leicester City,23,1998,13.2,28,2.12,19,1,1,5,2,0,7,0.53,4,0,1,2,0,0,Matches,ENG-EPL,22-23
d9565625,117,Diogo Dalot,POR,DF,Manchester Utd,23,1999,23.9,52,2.17,48,0,1,2,0,1,2,0.08,2,0,0,0,0,0,Matches,ENG-EPL,22-23
215f3907,118,Mikkel Damsgaard,DEN,"MF,FW",Brentford,22,2000,11.0,25,2.28,20,3,0,1,1,0,2,0.18,2,0,0,0,0,0,Matches,ENG-EPL,22-23
a816dbfb,119,Danilo,BRA,MF,Nott'ham Forest,21,2001,10.8,23,2.12,17,1,3,1,1,0,6,0.55,5,0,1,0,0,0,Matches,ENG-EPL,22-23
f08490a6,120,Arnaut Danjuma,NED,"FW,MF",Tottenham,25,1997,1.9,4,2.13,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
60344e4f,121,Josh Dasilva,ENG,MF,Brentford,23,1998,15.4,42,2.72,36,1,3,1,1,0,7,0.45,5,0,1,0,1,0,Matches,ENG-EPL,22-23
e82900ef,122,David Datro Fofana,CIV,FW,Chelsea,19,2002,0.8,6,7.71,2,0,4,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
44781702,123,Ben Davies,WAL,DF,Tottenham,29,1993,25.4,37,1.46,33,1,0,3,0,0,7,0.28,5,0,0,2,0,0,Matches,ENG-EPL,22-23
9228b07c,124,Tom Davies,ENG,MF,Everton,24,1998,6.0,6,1.0,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
3e9e06cb,125,Craig Dawson,ENG,DF,West Ham,32,1990,8.0,12,1.5,10,0,0,1,1,0,1,0.12,0,0,0,0,1,0,Matches,ENG-EPL,22-23
3e9e06cb,126,Craig Dawson,ENG,DF,Wolves,32,1990,15.7,6,0.38,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
e46012d4,127,Kevin De Bruyne,BEL,MF,Manchester City,31,1991,26.9,176,6.55,120,33,8,7,5,3,31,1.15,24,3,1,1,2,0,Matches,ENG-EPL,22-23
11f54bd5,128,Siriki Dembélé,CIV,"FW,MF",Bournemouth,25,1996,1.2,5,4.09,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
5a7301ae,129,Leander Dendoncker,BEL,MF,Aston Villa,27,1995,7.7,8,1.03,6,0,0,1,0,1,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
5a7301ae,130,Leander Dendoncker,BEL,MF,Wolves,27,1995,2.4,4,1.68,3,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
