id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,league,season
1079c685,109,Alberto Cerri,ITA,FW,Cagliari,23,1996,2.7,1,0,0,4,4,2,0,2,1,0,1,0,6,26,17,60.5,Matches,ITA-SERIA_A,19-20
ae7058f9,110,Julian Chabot,GER,DF,Sampdoria,21,1998,6.3,1,1,0,10,6,0,0,15,7,0,0,0,32,16,10,61.5,Matches,ITA-SERIA_A,19-20
84b6acaa,111,Jhon Chancellor,VEN,DF,Brescia,27,1992,24.9,3,0,0,21,7,3,0,34,14,0,0,1,103,61,41,59.8,Matches,ITA-SERIA_A,19-20
e85fb9b8,112,Giorgio Chiellini,ITA,DF,Juventus,34,1984,2.2,0,0,0,4,2,0,0,1,0,0,0,0,8,4,3,57.1,Matches,ITA-SERIA_A,19-20
b0f7e36c,113,Federico Chiesa,ITA,"FW,DF",Fiorentina,21,1997,29.3,7,0,0,54,47,7,53,6,22,2,0,0,107,8,24,25.0,Matches,ITA-SERIA_A,19-20
c316607a,114,Vlad Chiricheș,ROU,DF,Sassuolo,29,1989,7.9,0,0,0,8,3,1,1,11,9,0,0,0,51,16,14,53.3,Matches,ITA-SERIA_A,19-20
ae64d449,115,Luca Cigarini,ITA,MF,Cagliari,33,1986,17.8,8,1,1,37,28,0,83,20,20,0,0,0,137,9,10,47.4,Matches,ITA-SERIA_A,19-20
46f5c54d,116,Thiago Cionek,POL,DF,SPAL,33,1986,24.1,11,0,0,52,54,0,60,46,32,1,1,0,127,42,29,59.2,Matches,ITA-SERIA_A,19-20
fe6a7685,117,Andrea Cistana,ITA,DF,Brescia,22,1997,20.4,7,1,0,24,14,1,4,33,8,0,2,0,89,47,46,50.5,Matches,ITA-SERIA_A,19-20
91c9de34,118,Denilho Cleonise,NED,FW,Genoa,17,2001,0.5,2,0,0,2,1,0,0,1,0,0,0,0,3,0,1,0.0,Matches,ITA-SERIA_A,19-20
bf356094,119,Ebrima Colley,GAM,FW,Atalanta,19,2000,0.9,1,0,0,3,4,0,0,1,1,0,0,0,9,1,1,50.0,Matches,ITA-SERIA_A,19-20
8b95acda,120,Omar Colley,GAM,DF,Sampdoria,26,1992,30.8,10,0,0,40,16,2,5,59,26,0,2,0,192,83,51,61.9,Matches,ITA-SERIA_A,19-20
72be9309,121,Simone Colombi,ITA,GK,Parma,28,1991,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches,ITA-SERIA_A,19-20
04df29a5,122,Lorenzo Colombo,ITA,FW,Milan,17,2002,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches,ITA-SERIA_A,19-20
8cabdc1e,123,Andrea Consigli,ITA,GK,Sassuolo,32,1987,31.0,1,0,0,1,2,0,0,4,0,0,0,0,40,7,1,87.5,Matches,ITA-SERIA_A,19-20
8fef5412,124,Andrea Conti,ITA,DF,Milan,25,1994,19.2,8,0,0,37,22,0,24,43,25,0,1,0,90,12,14,46.2,Matches,ITA-SERIA_A,19-20
091795f2,125,Gabriele Corbo,ITA,DF,Bologna,19,2000,1.4,1,0,0,0,0,0,1,4,1,0,0,0,5,1,1,50.0,Matches,ITA-SERIA_A,19-20
c693347d,126,Andreas Cornelius,DEN,FW,Parma,26,1993,16.6,1,0,0,42,30,3,7,2,4,1,0,0,41,101,59,63.1,Matches,ITA-SERIA_A,19-20
45b9b619,127,Joaquín Correa,ARG,FW,Lazio,24,1994,22.2,0,0,0,18,49,7,9,7,7,3,0,0,63,14,33,29.8,Matches,ITA-SERIA_A,19-20
4fa7cb9b,128,Douglas Costa,BRA,"FW,MF",Juventus,28,1990,8.9,1,0,0,10,10,3,38,5,1,0,0,0,35,1,5,16.7,Matches,ITA-SERIA_A,19-20
18736214,129,Angelo da Costa Júnior,BRA,GK,Bologna,35,1983,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,ITA-SERIA_A,19-20
f554e29b,130,Alessio Cragno,ITA,GK,Cagliari,25,1994,16.0,1,0,0,0,1,0,0,0,0,0,0,0,16,7,0,100.0,Matches,ITA-SERIA_A,19-20
